"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ladies, gents and children of all ages. 
We’re back. @jumanjimovie 
The fun you’re gonna have! 
Love, Dwanta. 
Dece… https://t.co/r78bgtojkk",FALSE,14428,NA,2019-09-24 17:04:18,TRUE,NA,"1176542890517909505",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRock",1552,FALSE,FALSE,NA,NA
"IF YA SMELLLL what the NINERS are cookin’.. <U+0001F44F><U+0001F3FE><U+0001F44A><U+0001F3FE>  a long hard road ahead, but 3-0 is a helluva start. Keep havin’ f… https://t.co/VcE6xb1a8G",FALSE,29905,NA,2019-09-23 17:02:31,TRUE,NA,"1176180053085835265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",5507,FALSE,FALSE,NA,NA
"@LuchadorLD Thank you my friend. It’s go time!! #BringIt (be safe on the road and keep kicking ass)",FALSE,187,"LuchadorLD",2019-09-23 00:01:22,FALSE,"1175851015855378434","1175923072542466048","137764831","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",9,FALSE,FALSE,NA,NA
"@jamieklingler What?? First I’m hearing of this! Who’s turning 100? Beautiful age! What do you need, Jamie?",FALSE,339,"jamieklingler",2019-09-22 19:07:55,FALSE,"1175758864391856128","1175849222358175744","15233347","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",11,FALSE,FALSE,NA,NA
"<U+0001F4AA><U+0001F3FE><U+0001F3CB><U+0001F3FE><U+200D><U+2642><U+FE0F> enjoy my new gear 
https://t.co/EUtZM41PxM
@ProjectRock @UnderArmour https://t.co/f6X1ka3SWk",FALSE,2039,NA,2019-09-22 19:05:34,FALSE,NA,"1175848632483860480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",150,FALSE,FALSE,NA,NA
"Enjoy my new collection ladies. 
<U+0001F45F><U+0001F4AA><U+0001F3FE> #respect #IronWillCollection 
@ProjectRock @UnderArmour https://t.co/SUC14cE83R",FALSE,2768,NA,2019-09-22 15:36:42,FALSE,NA,"1175796069814267904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",171,FALSE,FALSE,NA,NA
"Dropped new color ways in my PR2s. Thanks every for already making them @UnderArmour’s #1 seller in one day. Enjoy… https://t.co/mzyOQH9OH9",FALSE,2779,NA,2019-09-21 21:28:58,TRUE,NA,"1175522329721327617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",177,FALSE,FALSE,NA,NA
"Powerful mana. It’s go time usos. Best of luck to all the teams. #RWC2019 https://t.co/i84R9Ofotr",FALSE,26025,NA,2019-09-21 18:03:24,FALSE,NA,"1175470599889534977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",3297,FALSE,FALSE,NA,NA
"RT @SportsBizMiss: The new ""Iron Will"" collection from @TheRock is the latest from the Project Rock partnership with @underarmour, which ha…",FALSE,0,NA,2019-09-21 15:43:06,FALSE,NA,"1175435290770472960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",92,TRUE,FALSE,NA,NA
"Pink for the win. 
My NEW #IronWillCollection training gear for men, women &amp; kids from @projectrock @underarmour AV… https://t.co/NTTx9PQUkG",FALSE,3179,NA,2019-09-20 19:09:28,TRUE,NA,"1175124835954905088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",232,FALSE,FALSE,NA,NA
"Cool Univ of Miami football throwback <U+0001F3C8> 
1993 Sugar Bowl in New Orleans. 
Me and my teammate and workout buddy, Bru… https://t.co/050pi4O1vR",FALSE,3148,NA,2019-09-20 16:44:40,TRUE,NA,"1175088397528051713",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheRock",274,FALSE,FALSE,NA,NA
"RT @FootwearNews: .@TheRock's fall @UnderArmour collection is here, and it's inspired by his personal gym: https://t.co/meet0aGA6y",FALSE,0,NA,2019-09-20 15:55:17,FALSE,NA,"1175075968173502464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",84,TRUE,FALSE,NA,NA
"@Scomo843 Thx man. Our ballers talk and shit gets real <U+0001F923><U+0001F44A><U+0001F3FE>",FALSE,519,"Scomo843",2019-09-20 02:31:11,FALSE,"1174716236518871042","1174873610801909761","283831160","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",33,FALSE,FALSE,NA,NA
